Index,orientation_ego,velocity_ego,orientation_ped,velocity_ped,Min distance,Velocity at min distance,Critical
106,52.282150,2.261409,60.546070,1.879475,6.808898,-2.261409,0
107,54.650992,1.740764,223.313950,2.125863,3.136589,-1.740764,0
108,46.086258,2.129313,225.089136,2.217918,3.610384,-2.129313,0
109,27.179996,2.129477,181.911811,2.598921,7.211808,-2.129477,0
110,44.852176,2.017934,223.397283,1.271241,3.818735,-2.017934,0
111,46.086258,2.001550,224.304274,2.128235,3.632658,-2.001550,0
112,60.428356,2.120980,176.778455,1.411371,4.931515,-2.120980,0
113,28.766159,2.127998,205.064859,2.251007,5.991577,-2.127998,0
114,61.767414,2.107046,175.141304,1.399964,4.902032,-2.107046,0
115,46.086258,1.971626,224.304274,2.112038,3.683072,-1.971626,0
116,61.259812,2.120980,175.141304,1.401865,4.947224,-2.120980,0
117,19.554123,2.127998,205.064859,2.251007,6.489368,-2.127998,0
118,138.944397,1.464309,168.139526,1.883886,4.633801,-1.464309,0
119,73.293503,1.740764,174.743176,1.552842,4.829624,-1.740764,0
120,60.428356,2.120980,171.889343,1.411371,5.160343,-2.120980,0
121,60.198240,2.120980,171.889343,1.789200,5.706955,-2.120980,0
122,54.288006,1.723014,176.654662,1.047048,5.255613,-1.723014,0
123,60.198240,2.120980,171.758617,1.789200,5.717111,-2.120980,0
124,54.288006,1.723014,171.765550,1.047048,5.485314,-1.723014,0
125,54.288006,1.740764,174.743176,1.552842,6.035025,-1.740764,0
126,45.723271,2.001550,175.733500,1.555215,6.279137,-2.001550,0
127,61.259812,2.112200,122.609301,1.396768,6.577533,-2.112200,0
128,53.780404,1.754698,174.743176,1.554744,6.075543,-1.754698,0
129,19.554123,2.000234,204.279998,1.314577,6.516715,-2.000234,0
130,54.288006,1.723014,175.170517,1.675066,6.150570,-1.723014,0
131,45.029677,1.914609,173.013008,2.106884,6.918000,-1.914609,0
132,51.093677,1.723014,175.170517,1.675066,6.322281,-1.723014,0
133,54.288006,1.723014,174.743176,2.795793,7.006282,-1.723014,0
134,52.277836,1.711104,174.743176,2.106800,6.691525,-1.711104,0
135,161.009374,1.108214,167.636236,2.610927,1000.000000,1000.000000,0
136,15.588173,2.733929,55.724048,2.281599,1000.000000,1000.000000,0
137,17.970840,1.451894,132.497471,1.737839,1000.000000,1000.000000,0
138,313.668991,2.811464,341.547570,2.791700,1000.000000,1000.000000,0
139,94.182561,2.210989,253.569799,1.751035,1000.000000,1000.000000,0
140,152.739201,2.696202,168.044411,2.611261,1000.000000,1000.000000,0
141,164.375553,1.022988,146.076465,2.135665,1000.000000,1000.000000,0
142,54.187313,2.273142,53.728440,2.474684,1000.000000,1000.000000,0
143,252.095224,1.470227,166.768880,1.878108,1000.000000,1000.000000,0
144,77.411249,2.606180,264.659151,1.455600,1000.000000,1000.000000,0
145,303.427188,2.230419,327.351256,2.605760,1000.000000,1000.000000,0
146,138.944397,2.703845,242.452956,2.379560,1000.000000,1000.000000,0
147,189.868707,2.537666,43.305256,2.228118,1000.000000,1000.000000,0
148,284.931790,2.754754,215.087235,2.094972,1000.000000,1000.000000,0
149,164.845353,2.431000,194.710246,2.332970,1000.000000,1000.000000,0
150,32.237850,2.878033,278.177099,2.003932,1.540647,-2.878033,0
151,60.198240,2.120980,253.280352,1.789200,0.276967,-2.120980,1
152,93.956722,2.819431,172.564926,1.631477,1.038226,-2.819431,0
153,31.406394,2.878033,274.925139,2.013438,1.832943,-2.878033,0
154,164.798659,1.047402,220.185199,2.520672,0.542896,-1.047402,0
155,164.798659,1.047433,220.185199,2.520672,0.547553,-1.047433,0
156,31.406394,2.878033,274.925139,1.982133,1.866250,-2.878033,0
157,32.237850,2.878033,172.358429,2.003932,7.013020,-2.878033,0
158,51.128783,2.128666,224.748248,2.250365,3.268714,-2.128666,0
159,73.293503,1.740764,220.996666,2.123632,2.016426,-1.740764,0
160,46.086258,2.129313,225.059330,2.217918,3.552952,-2.129313,0
161,54.288006,2.815876,171.740113,1.047048,4.555468,-2.815876,0
162,46.315258,1.938880,229.057574,1.799722,3.287188,-1.938880,0
163,54.650992,1.740764,223.313950,2.125863,3.136589,-1.740764,0
164,54.657191,1.731533,223.313950,1.797004,3.072644,-1.731533,0
165,46.086258,2.001550,224.304274,1.281487,3.593786,-2.001550,0
166,46.086258,2.129313,225.089136,2.217918,3.610384,-2.129313,0
167,52.282150,2.261409,60.546070,1.879475,6.808898,-2.261409,0
168,54.650992,1.740764,223.343755,2.125863,3.151386,-1.740764,0
169,28.766159,2.127998,205.064859,2.251007,5.991577,-2.127998,0
170,61.777054,2.107046,175.141304,1.382893,4.830717,-2.107046,0
171,61.681928,2.121094,176.778455,1.411123,4.841890,-2.121094,0
172,60.198240,2.127413,175.274869,1.789200,5.480000,-2.127413,0
173,46.086258,2.104948,223.857005,1.281487,3.615848,-2.104948,0
174,27.179996,2.129477,181.911811,2.598921,7.211808,-2.129477,0
175,93.956722,1.726536,172.590363,1.631477,3.571326,-1.726536,0
176,19.554123,2.127998,205.064859,2.251007,6.489368,-2.127998,0
177,60.428356,2.120980,176.778455,1.411371,4.931515,-2.120980,0
178,61.767414,2.107046,175.141304,1.399964,4.902032,-2.107046,0
179,46.086258,2.001550,224.304274,2.128235,3.632658,-2.001550,0
180,44.852176,2.019728,223.397283,1.271241,3.807476,-2.019728,0
181,46.086258,2.009027,222.483967,2.128235,3.776717,-2.009027,0
182,61.259812,2.120980,175.141304,1.401865,4.947224,-2.120980,0
183,60.502267,2.119821,176.736049,1.419485,4.946043,-2.119821,0
