Index,orientation_ego,velocity_ego,orientation_ped,velocity_ped,Fitness_Min distance,Fitness_Velocity at min distance
163,95.150845,2.785476,172.560288,1.405880,0.194669,-2.785476
164,45.817162,2.861487,275.473325,2.000774,0.227719,-2.861487
165,46.009516,2.878033,276.106682,1.983755,0.229714,-2.878033
166,45.817270,2.859953,275.473325,2.000921,0.227384,-2.859953
167,46.007582,2.915211,276.083337,2.000889,0.258633,-2.915211
168,46.009818,2.958072,276.097547,2.036496,0.273840,-2.958072
169,46.009516,2.961307,276.029453,2.036228,0.290970,-2.961307
170,46.725486,2.961204,276.126399,1.979790,0.285970,-2.961204
171,60.520626,2.253714,253.834681,1.789444,0.197700,-2.253714
172,45.817162,2.861487,275.473325,2.000724,0.248339,-2.861487
173,60.520626,2.287017,253.340879,1.791846,0.210196,-2.287017
174,82.037077,2.831200,224.564300,2.003932,0.176254,-2.831200
175,82.037077,2.830940,224.564300,2.003883,0.153137,-2.830940
176,81.756713,2.866044,224.564300,2.003076,0.185142,-2.866044
177,46.029547,2.961513,276.055577,2.036223,0.217148,-2.961513
178,46.714892,2.961204,276.088595,1.975332,0.212102,-2.961204
179,46.714892,2.963786,276.088595,1.975332,0.222112,-2.963786
180,60.336172,2.996156,253.661798,1.983505,0.287772,-2.996156
181,95.156248,2.823150,170.602993,1.406228,0.183919,-2.823150
182,95.150845,2.820040,172.560288,1.411163,0.155573,-2.820040
183,95.150845,2.820045,172.560288,1.411163,0.180048,-2.820045
184,82.037077,2.831200,224.564300,2.003883,0.200428,-2.831200
185,45.817162,2.829600,275.473325,2.000724,0.196506,-2.829600
186,46.009516,2.887438,276.106682,1.982133,0.213219,-2.887438
187,46.023564,2.913770,276.030615,2.035645,0.221652,-2.913770
188,46.009516,2.961307,276.100104,2.036228,0.259107,-2.961307
189,45.799665,2.961312,276.026776,2.035642,0.264576,-2.961312
190,46.725486,2.961310,276.126399,1.986339,0.262465,-2.961310
191,46.725486,2.936202,276.106682,1.981665,0.224476,-2.936202
192,46.725486,2.961204,276.126399,1.981665,0.232550,-2.961204
193,60.899087,2.963364,253.778285,2.036223,0.281679,-2.963364
194,45.808208,2.963051,276.052899,2.033333,0.266159,-2.963051
195,46.009537,2.961234,276.097262,2.036486,0.241623,-2.961234
196,45.819695,2.994114,276.151273,2.037703,0.299571,-2.994114
197,60.520626,2.287017,253.810925,1.791909,0.161789,-2.287017
198,95.150845,2.818779,172.560288,1.411163,0.181938,-2.818779
199,82.037077,2.830940,224.564300,1.983050,0.220277,-2.830940
200,46.009798,2.892144,276.029739,2.036036,0.222001,-2.892144
201,46.009516,2.914156,276.030615,2.036003,0.225352,-2.914156
202,46.009516,2.960530,276.029453,2.036228,0.237616,-2.960530
203,46.694254,2.961204,275.714598,1.982224,0.238732,-2.961204
204,45.808208,2.963051,276.052899,2.035044,0.267338,-2.963051
205,46.009516,2.961234,276.029453,2.036026,0.265821,-2.961234
206,60.520626,2.253714,253.858981,1.789438,0.182968,-2.253714
207,95.150845,2.785476,172.560288,1.405880,0.194669,-2.785476
208,95.150845,2.818774,172.560288,1.411163,0.210252,-2.818774
209,46.009516,2.878033,276.106682,1.983755,0.229714,-2.878033
210,46.007582,2.915211,276.083337,2.000889,0.258633,-2.915211
211,82.037077,2.831200,224.564300,2.003932,0.176254,-2.831200
212,82.037077,2.830940,224.564300,2.003883,0.153137,-2.830940
213,60.899087,2.964498,253.778285,2.036223,0.205398,-2.964498
214,46.725486,2.939984,276.106682,1.981959,0.181219,-2.939984
215,61.219541,2.999396,253.411392,2.002985,0.237075,-2.999396
216,95.150845,2.820040,172.560288,1.411163,0.155573,-2.820040
217,95.150845,2.820045,172.560288,1.411163,0.180048,-2.820045
218,46.029547,2.961513,276.055577,2.036223,0.217148,-2.961513
219,46.714892,2.961204,276.088595,1.975332,0.212102,-2.961204
220,46.714892,2.963786,276.088595,1.975332,0.222112,-2.963786
221,81.756713,2.866044,224.564300,2.003076,0.185142,-2.866044
222,95.156248,2.823150,170.602993,1.406228,0.183919,-2.823150
223,46.023564,2.912636,276.030615,2.035645,0.188708,-2.912636
224,60.336172,2.996156,253.661798,1.983505,0.287772,-2.996156
225,45.811682,2.996124,276.425668,2.011810,0.283738,-2.996124
226,45.819281,2.992698,276.406400,2.011615,0.272159,-2.992698
227,60.520626,2.287017,253.810925,1.791909,0.161789,-2.287017
228,95.150845,2.818779,172.560288,1.411163,0.181938,-2.818779
229,46.023564,2.913770,276.030615,2.035645,0.221652,-2.913770
230,46.009516,2.961307,276.100104,2.036228,0.259107,-2.961307
231,45.799665,2.961312,276.026776,2.035642,0.264576,-2.961312
232,46.725486,2.961310,276.126399,1.986339,0.262465,-2.961310
233,46.725486,2.936202,276.106682,1.981665,0.224476,-2.936202
234,46.725486,2.961204,276.126399,1.981665,0.232550,-2.961204
235,45.808208,2.963051,276.052899,2.033333,0.266159,-2.963051
236,46.009537,2.961234,276.097262,2.036486,0.241623,-2.961234
237,82.037077,2.831200,224.564300,2.003883,0.200428,-2.831200
238,46.009516,2.887438,276.106682,1.982133,0.213219,-2.887438
239,82.039429,2.830547,224.564300,2.003106,0.194691,-2.830547
