Index,orientation_ego,velocity_ego,orientation_ped,velocity_ped,Fitness_Min Adapted Distance,Fitness_Velocity At Min Adapted Distance,Critical
135,252.663415,2.287388,284.386502,1.631900,0.000000,0.000000,0
136,240.523231,2.665205,335.707896,2.974849,0.000000,0.000000,0
137,115.420327,2.529671,340.930791,1.077276,0.000000,0.000000,0
138,322.317860,2.808556,217.257541,2.683165,0.000000,0.000000,0
139,250.038086,2.287388,236.374143,1.498676,0.000000,0.000000,0
140,115.420327,2.657469,340.930791,2.720641,0.000000,0.000000,0
141,307.625083,1.775422,245.066324,2.857866,0.000000,0.000000,0
142,112.658000,2.685747,268.268665,1.232575,0.000000,0.000000,0
143,109.767085,2.685410,268.268665,1.232575,0.000000,0.000000,0
144,115.419557,2.588794,339.397641,2.722805,0.000000,0.000000,0
145,47.491552,1.519068,325.901366,2.541094,0.000000,0.000000,0
146,115.372173,1.889505,284.413861,2.412562,0.000000,0.000000,0
147,91.122173,2.602419,179.540833,1.398972,0.000000,0.000000,0
148,223.796243,1.539202,160.555070,2.690601,0.000000,0.000000,0
149,93.031367,2.421090,232.395992,2.568757,0.000000,0.000000,0
150,39.833228,2.703710,325.901366,2.541820,-0.689566,-2.703710,1
151,93.031367,2.420115,230.548021,2.684839,-0.946479,-2.420115,1
152,93.031367,2.426063,230.561961,2.582142,-0.850167,-2.426063,1
153,115.372173,1.889505,216.837486,2.425113,-0.972913,-1.889505,1
154,93.031367,2.421090,230.561961,2.582142,-0.727362,-2.421090,1
155,84.316134,1.757974,245.066324,2.857866,-0.813677,-1.757974,1
156,43.529830,1.634848,295.040904,2.519066,-0.889402,-1.634848,1
157,93.031367,2.421090,334.517328,2.965131,0.000000,0.000000,0
158,238.583876,2.707190,67.510388,2.581805,0.000000,0.000000,0
159,249.977335,1.164960,161.949616,1.779476,0.000000,0.000000,0
160,231.171805,1.587306,36.508609,1.496558,0.000000,0.000000,0
161,91.122173,1.775978,54.985744,2.201497,0.000000,0.000000,0
162,312.906214,2.809531,174.290092,2.580469,0.000000,0.000000,0
163,83.204732,2.370411,75.558544,2.201497,0.000000,0.000000,0
164,109.767085,2.685410,268.268665,1.232575,0.000000,0.000000,0
165,280.276365,2.695253,325.564516,2.543861,0.000000,0.000000,0
166,115.372173,1.966167,284.413861,2.412562,0.000000,0.000000,0
167,47.491552,1.519068,325.901366,2.541094,0.000000,0.000000,0
168,47.381011,1.425436,333.103568,1.397683,0.000000,0.000000,0
169,250.038086,2.287388,236.374143,1.498676,0.000000,0.000000,0
170,115.420327,2.529671,41.880093,2.109500,0.000000,0.000000,0
171,223.796243,1.539202,160.555070,2.690601,0.000000,0.000000,0
172,21.065197,2.703710,325.936564,2.541820,0.000000,0.000000,0
173,81.625375,1.775978,54.985744,2.201497,0.000000,0.000000,0
174,250.196407,2.287388,236.014249,1.631900,0.000000,0.000000,0
175,254.640686,2.287388,276.063133,1.676128,0.000000,0.000000,0
176,8.662303,2.706873,23.351851,1.207698,0.000000,0.000000,0
177,115.420327,2.657469,340.930791,2.720641,0.000000,0.000000,0
178,285.065600,2.285688,165.117858,2.371363,0.000000,0.000000,0
179,231.171805,1.588609,335.298424,1.210000,0.000000,0.000000,0
180,322.317860,2.808556,217.257541,2.683165,0.000000,0.000000,0
181,280.276365,2.695253,325.564516,2.541820,0.000000,0.000000,0
182,241.957951,2.245829,324.288975,2.845758,0.000000,0.000000,0
183,320.177642,1.756782,245.066324,2.852999,0.000000,0.000000,0
184,119.305106,1.889505,320.125803,2.412562,0.000000,0.000000,0
185,179.630493,2.772256,17.119380,2.164543,0.000000,0.000000,0
186,115.419557,2.658232,345.341128,2.720513,0.000000,0.000000,0
187,307.625083,1.775422,245.066324,2.857866,0.000000,0.000000,0
188,44.629971,2.289171,168.013527,2.357978,0.000000,0.000000,0
189,249.977335,1.168164,161.949616,1.779476,0.000000,0.000000,0
190,115.206981,2.529671,340.930791,2.893707,0.000000,0.000000,0
191,93.031367,2.421090,232.395992,2.568757,0.000000,0.000000,0
192,307.625083,1.742281,245.279243,2.857866,0.000000,0.000000,0
193,227.866509,1.583658,319.899646,2.134260,0.000000,0.000000,0
194,47.381011,1.388478,335.717406,2.498262,0.000000,0.000000,0
195,320.177642,1.756782,244.041910,2.873807,0.000000,0.000000,0
196,8.662303,1.538882,23.300453,2.530176,0.000000,0.000000,0
