Index,orientation_ego,velocity_ego,orientation_ped,velocity_ped,Fitness_Min Adapted Distance,Fitness_Velocity At Min Adapted Distance
121,39.843339,2.780423,327.310075,2.652239,-0.638278,-2.780423
122,93.031367,2.421090,230.561961,2.573075,-0.851253,-2.421090
123,93.031367,2.420204,230.547907,2.579868,-0.862374,-2.420204
124,93.031367,2.387097,230.561961,2.582142,-0.908207,-2.387097
125,117.195567,1.889505,216.837486,2.662692,-0.963612,-1.889505
126,39.833228,2.723974,325.901366,2.541820,-0.734539,-2.723974
127,93.031367,2.519496,244.956746,2.849883,-0.770276,-2.519496
128,43.538611,2.780161,327.495896,2.652299,-0.614894,-2.780161
129,93.031367,2.420204,230.267826,2.579868,-0.771120,-2.420204
130,93.031367,2.413715,230.371899,2.582142,-0.827380,-2.413715
131,93.031367,1.969446,230.266687,2.415137,-0.894062,-1.969446
132,93.031367,2.387097,230.561961,2.582188,-0.892526,-2.387097
133,43.529830,1.634848,295.109868,2.519066,-0.926982,-1.634848
134,115.372173,1.889505,216.837486,2.398866,-0.905048,-1.889505
135,39.833228,2.703710,325.901366,2.541820,-0.689566,-2.703710
136,39.843339,2.721292,325.912517,2.652239,-0.648413,-2.721292
137,93.031367,2.421090,230.561961,2.572607,-0.752155,-2.421090
138,93.031367,2.434430,246.799085,2.908301,-0.739145,-2.434430
139,39.833228,2.724809,327.324583,2.541978,-0.607401,-2.724809
140,21.065197,2.273127,327.193677,2.496903,-0.825517,-2.273127
141,115.372173,1.895399,216.822835,2.398866,-0.885502,-1.895399
142,93.031367,1.969446,230.546768,2.415137,-0.839536,-1.969446
143,43.529830,1.634848,295.040904,2.519066,-0.889402,-1.634848
144,39.843339,2.703710,326.434382,2.521387,-0.640987,-2.703710
145,93.031367,2.421090,230.563732,2.541341,-0.743423,-2.421090
146,93.031367,2.000543,230.561542,2.422052,-0.754970,-2.000543
147,84.316134,1.757974,245.066324,2.857866,-0.813677,-1.757974
148,115.372173,1.889505,216.844319,2.444774,-0.802110,-1.889505
149,93.031367,2.421090,230.561961,2.582142,-0.727362,-2.421090
150,93.031367,2.420229,230.561961,2.582142,-0.731004,-2.420229
151,93.031367,2.420204,244.956746,2.849883,-0.647286,-2.420204
152,93.031367,2.417955,230.106993,2.573075,-0.729010,-2.417955
153,93.031367,2.417047,230.548440,2.686094,-0.991069,-2.417047
154,40.375945,2.681472,328.786053,2.521387,-0.989263,-2.681472
155,39.842981,2.782942,326.433659,2.652239,-0.930517,-2.782942
156,93.031367,2.420115,230.548021,2.684839,-0.946479,-2.420115
157,93.031367,2.417047,230.548021,2.684839,-0.953898,-2.417047
158,43.529830,1.634848,295.041765,2.519066,-0.986378,-1.634848
