Index,PedestrianSpeed,FinalHostSpeed,PedestrianEgoDistanceStartWalk,Min distance,Velocity at min distance
80,0.551775,19.080164,49.520474,0.349462,-5.960930
81,0.821739,32.690494,48.706003,0.349462,-5.960930
82,0.532862,25.559299,8.979782,0.349462,-5.960930
83,0.795226,32.499547,37.812263,2.539285,-3.908470
84,1.067508,76.208483,15.533824,2.936127,-4.618802
85,0.802396,32.690494,27.336601,0.413079,-3.660447
86,0.821709,25.559299,9.528485,0.363718,-2.396533
87,1.948870,48.588051,41.669847,2.597361,-3.908470
88,0.526565,32.690494,47.127911,2.437289,-1.749533
89,0.795226,71.982813,52.538926,1.582785,-0.527692
90,0.922290,33.879829,47.930271,2.941584,-1.920382
91,1.070887,62.345876,15.533824,3.030080,-3.375334
92,1.451062,79.462328,8.003633,2.472819,-1.749533
93,1.653712,11.925924,37.812263,2.472819,-1.749533
94,2.475694,62.335983,49.676521,2.278762,-0.020510
95,1.289577,28.037896,27.336601,2.147952,-0.020507
96,0.551775,19.080164,47.535266,3.154194,-2.380128
97,1.067508,31.736316,15.533824,2.612846,-1.749533
98,1.070887,76.155138,52.339375,2.161191,-0.020507
99,0.533053,19.080164,9.134023,3.195065,-2.380128
100,0.551775,19.080164,49.520474,0.349462,-5.960930
101,0.821739,32.690494,48.706003,0.349462,-5.960930
102,0.532862,25.559299,8.979782,0.349462,-5.960930
103,0.815778,25.559299,7.800799,0.212202,-2.724081
104,0.527446,19.099659,47.002825,0.397120,-5.709445
105,0.821709,25.559299,9.528485,0.363718,-2.396533
106,1.954802,47.846247,43.397919,0.363718,-2.396533
107,0.819572,25.559299,9.528485,0.362725,-2.396445
108,0.795226,32.499547,37.812263,2.539285,-3.908470
109,1.067508,76.208483,15.533824,2.936127,-4.618802
110,0.802396,32.690494,27.336601,0.413079,-3.660447
111,1.948870,48.588051,41.669847,2.597361,-3.908470
112,0.526565,32.690494,47.127911,2.437289,-1.749533
113,0.795226,71.982813,52.538926,1.582785,-0.527692
114,1.289577,28.037896,27.336601,2.147952,-0.020507
115,1.070887,62.345876,15.533824,3.030080,-3.375334
116,1.451062,79.462328,8.003633,2.472819,-1.749533
117,0.922290,33.879829,47.930271,2.941584,-1.920382
118,2.475694,62.335983,49.676521,2.278762,-0.020510
119,1.653712,11.925924,37.812263,2.472819,-1.749533
120,0.551775,19.080164,49.520474,0.349462,-5.960930
121,0.821739,32.690494,48.706003,0.349462,-5.960930
122,0.532862,25.559299,8.979782,0.349462,-5.960930
123,0.815778,25.559299,7.800799,0.212202,-2.724081
124,0.532862,38.714440,45.358178,0.349462,-5.960930
125,1.070471,25.559299,15.803011,0.316992,-3.983007
126,0.527446,19.099659,47.002825,0.397120,-5.709445
127,0.821709,25.559299,9.528485,0.363718,-2.396533
128,1.954802,47.846247,43.397919,0.363718,-2.396533
129,0.819572,25.559299,9.528485,0.362725,-2.396445
130,0.795226,32.499547,37.812263,2.539285,-3.908470
131,1.067508,76.208483,15.533824,2.936127,-4.618802
132,0.802396,32.690494,27.336601,0.413079,-3.660447
133,1.948870,48.588051,41.669847,2.597361,-3.908470
134,0.526565,32.690494,47.127911,2.437289,-1.749533
135,0.795226,71.982813,52.538926,1.582785,-0.527692
136,1.070887,62.345876,15.533824,3.030080,-3.375334
137,1.289577,28.037896,27.336601,2.147952,-0.020507
138,1.451062,79.462328,8.003633,2.472819,-1.749533
139,0.922290,33.879829,47.930271,2.941584,-1.920382
